PRODUTO;DESCRICAO;LOTE MINIMO;PRECO (R$);%ICMS;%IPI;IPI (R$)
S5276;PLUG BRASIKON 3P+N+T 32A 380/440V 6H VM IP44;1;R$ 44,42;7;9,75;R$ 4,33
S5579;PLUG BRASIKON 3P+N+T 63A 200/250V 9H AZ IP67;1;R$ 205,95;7;9,75;R$ 20,08
PRODUTO;DESCRICAO;LOTE MINIMO;PRECO;%ICMS;%IPI;IPI
S5576;PLUG BRASIKON 3P+N+T 63A 380/440V 6H VM IP67;1;R$ 205,95;7;9,75;R$ 20,08
S5575;PLUG BRASIKON 3P+N+T BRASIKON 63A 600/690V 5H PT I;1;R$ 720,33;7;9,75;R$ 70,23
S4679;PLUG BRASIKON 3P+T 125A 200/250V 9H AZ IP67;1;R$ 344,92;7;9,75;R$ 33,62
S4676;PLUG BRASIKON 3P+T 125A 380/440V 6H VM IP67;1;R$ 344,92;7;9,75;R$ 33,62
S46711;PLUG BRASIKON 3P+T 125A 440/460V 11H VM;1;R$ 515,12;7;9,75;R$ 50,22
S4675;PLUG BRASIKON 3P+T 125A 600/690V 5H PT IP67;1;R$ 515,12;7;9,75;R$ 50,22
S4074;PLUG BRASIKON 3P+T 16A 100/130V 4H AM IP44;1;R$ 30,62;7;9,75;R$ 2,98
S4079;PLUG BRASIKON 3P+T 16A 200/250V 9H AZ IP44;1;R$ 30,62;7;9,75;R$ 2,98
S4072;PLUG BRASIKON 3P+T 16A 24V 2H LI IP44;1;R$ 64,53;7;9,75;R$ 6,29
S4076BM;PLUG BRASIKON 3P+T 16A 380/440V 6H VM;1;R$ 97,57;7;9,75;R$ 9,51
S4076;PLUG BRASIKON 3P+T 16A 380/440V 6H VM IP44;1;R$ 30,62;7;9,75;R$ 2,98
S4070;PLUG BRASIKON 3P+T 16A 500HZ 10H VD IP44;1;R$ 77,66;7;9,75;R$ 7,57
S4075;PLUG BRASIKON 3P+T 16A 600/690V 5H PT IP44;1;R$ 39,74;7;9,75;R$ 3,87
SN4879;PLUG BRASIKON 3P+T 200A 200/250V 9H AZ NEG;1;R$ 3.052,10;7;9,75;R$ 297,57
S4876;PLUG BRASIKON 3P+T 200A 380/440V 6H VM;1;R$ 1.327,01;7;9,75;R$ 129,38
SN4876;PLUG BRASIKON 3P+T 200A 380/440V 6H VM NEG;1;R$ 3.052,10;7;9,75;R$ 297,57
SN4875;PLUG BRASIKON 3P+T 200A 600/690V 5H PR NEG;1;R$ 3.082,94;7;9,75;R$ 300,58
S4875;PLUG BRASIKON 3P+T 200A 600/690V 5H PT;1;R$ 1.990,50;7;9,75;R$ 194,07
S4279BM1;PLUG BRASIKON 3P+T 32A 200/250V 9H AZ BM NOVA IP44;1;R$ 263,08;7;9,75;R$ 25,65
S4279;PLUG BRASIKON 3P+T 32A 200/250V 9H AZ IP44;1;R$ 40,56;7;9,75;R$ 3,95
S4276BM1;PLUG BRASIKON 3P+T 32A 380/440V 6H VM BM NOVA IP44;1;R$ 230,70;7;9,75;R$ 22,49
S4276;PLUG BRASIKON 3P+T 32A 380/440V 6H VM IP44;1;R$ 40,56;7;9,75;R$ 3,95
